timesteps,reward
1964,[-0.5 -0.5 -0.5 -0.5]
1968,[-0.5 -0.5 -0.5 -0.5]
1972,[-0.5 -0.5 -0.5 -0.5]
1976,[-0.5 -0.5 -0.5 -0.5]
1980,[-0.5 -0.5 -0.5 -0.5]
1984,[-0.5 -0.5 -0.5 -0.5]
1988,[-0.5 -0.5 -0.5 -0.5]
1992,[-0.5 -0.5 -0.5 -0.5]
1996,[-0.5 -0.5 -0.5 -0.5]
2000,[-1. -1. -1. -1.]
2004,[0.1 0.1 0.1 0.1]
2008,[0.1 0.1 0.1 0.1]
2012,[0.1 0.1 0.1 0.1]
2016,[0.1 0.1 0.1 0.1]
2020,[0.1 0.1 0.1 0.1]
2024,[0.1 0.1 0.1 0.1]
2028,[0.1 0.1 0.1 0.1]
2032,[0.1 0.1 0.1 0.1]
2036,[0.1 0.1 0.1 0.1]
2040,[0.1 0.1 0.1 0.1]
2044,[0.1 0.1 0.1 0.1]
2048,[0.1 0.1 0.1 0.1]
2052,[0.1 0.1 0.1 0.1]
2056,[0.1 0.1 0.1 0.1]
2060,[0.1 0.1 0.1 0.1]
2064,[0.1 0.1 0.1 0.1]
2068,[0.1 0.1 0.1 0.1]
2072,[0.1 0.1 0.1 0.1]
2076,[0.1 0.1 0.1 0.1]
2080,[0.1 0.1 0.1 0.1]
2084,[0.1 0.1 0.1 0.1]
2088,[0.1 0.1 0.1 0.1]
2092,[0.1 0.1 0.1 0.1]
2096,[0.1 0.1 0.1 0.1]
2100,[0.1 0.1 0.1 0.1]
2104,[0.1 0.1 0.1 0.1]
2108,[0.1 0.1 0.1 0.1]
2112,[0.1 0.1 0.1 0.1]
2116,[0.1 0.1 0.1 0.1]
2120,[0.1 0.1 0.1 0.1]
2124,[0.1 0.1 0.1 0.1]
2128,[ 0.1  0.1  0.1 -0.5]
2132,[ 0.1  0.1  0.1 -0.5]
2136,[-0.5  0.1  0.1 -0.5]
2140,[-0.5 -0.5 -0.5 -0.5]
2144,[-0.5 -0.5 -0.5 -0.5]
2148,[-0.5 -0.5 -0.5 -0.5]
2152,[-0.5 -0.5 -0.5 -0.5]
2156,[-0.5 -0.5 -0.5 -0.5]
2160,[-0.5 -0.5 -0.5 -0.5]
2164,[-0.5 -0.5 -0.5 -0.5]
2168,[-0.5 -0.5 -0.5 -0.5]
2172,[-0.5 -0.5 -0.5 -0.5]
2176,[-0.5 -0.5 -0.5 -0.5]
2180,[-0.5 -0.5 -0.5 -0.5]
2184,[-0.5 -0.5 -0.5 -0.5]
2188,[-0.5 -0.5 -0.5 -0.5]
2192,[-0.5 -0.5 -0.5 -0.5]
2196,[-0.5 -0.5 -0.5 -0.5]
2200,[-1. -1. -1. -1.]
2204,[0.1 0.1 0.1 0.1]
2208,[0.1 0.1 0.1 0.1]
2212,[0.1 0.1 0.1 0.1]
2216,[0.1 0.1 0.1 0.1]
2220,[0.1 0.1 0.1 0.1]
2224,[0.1 0.1 0.1 0.1]
2228,[0.1 0.1 0.1 0.1]
2232,[0.1 0.1 0.1 0.1]
2236,[0.1 0.1 0.1 0.1]
2240,[0.1 0.1 0.1 0.1]
2244,[0.1 0.1 0.1 0.1]
2248,[0.1 0.1 0.1 0.1]
2252,[0.1 0.1 0.1 0.1]
2256,[0.1 0.1 0.1 0.1]
2260,[0.1 0.1 0.1 0.1]
2264,[0.1 0.1 0.1 0.1]
2268,[0.1 0.1 0.1 0.1]
2272,[0.1 0.1 0.1 0.1]
2276,[0.1 0.1 0.1 0.1]
2280,[0.1 0.1 0.1 0.1]
2284,[0.1 0.1 0.1 0.1]
2288,[0.1 0.1 0.1 0.1]
2292,[0.1 0.1 0.1 0.1]
2296,[0.1 0.1 0.1 0.1]
2300,[0.1 0.1 0.1 0.1]
2304,[0.1 0.1 0.1 0.1]
2308,[0.1 0.1 0.1 0.1]
2312,[0.1 0.1 0.1 0.1]
2316,[0.1 0.1 0.1 0.1]
2320,[0.1 0.1 0.1 0.1]
2324,[0.1 0.1 0.1 0.1]
2328,[0.1 0.1 0.1 0.1]
2332,[0.1 0.1 0.1 0.1]
2336,[0.1 0.1 0.1 0.1]
2340,[ 0.1  0.1  0.1 -0.5]
2344,[-0.5 -0.5  0.1 -0.5]
2348,[-0.5 -0.5  0.1 -0.5]
2352,[-0.5 -0.5 -0.5 -0.5]
2356,[-0.5 -0.5 -0.5 -0.5]
2360,[-0.5 -0.5 -0.5 -0.5]
2364,[-0.5 -0.5 -0.5 -0.5]
2368,[-0.5 -0.5 -0.5 -0.5]
2372,[-0.5 -0.5 -0.5 -0.5]
2376,[-0.5 -0.5 -0.5 -0.5]
2380,[-0.5 -0.5 -0.5 -0.5]
2384,[-0.5 -0.5 -0.5 -0.5]
2388,[-0.5 -0.5 -0.5 -0.5]
2392,[-0.5 -0.5 -0.5 -0.5]
2396,[-0.5 -0.5 -0.5 -0.5]
2400,[-1. -1. -1. -1.]
2404,[0.1 0.1 0.1 0.1]
2408,[0.1 0.1 0.1 0.1]
2412,[0.1 0.1 0.1 0.1]
2416,[0.1 0.1 0.1 0.1]
2420,[0.1 0.1 0.1 0.1]
2424,[0.1 0.1 0.1 0.1]
2428,[0.1 0.1 0.1 0.1]
2432,[0.1 0.1 0.1 0.1]
2436,[0.1 0.1 0.1 0.1]
2440,[0.1 0.1 0.1 0.1]
2444,[0.1 0.1 0.1 0.1]
2448,[0.1 0.1 0.1 0.1]
2452,[0.1 0.1 0.1 0.1]
2456,[0.1 0.1 0.1 0.1]
2460,[0.1 0.1 0.1 0.1]
2464,[0.1 0.1 0.1 0.1]
2468,[0.1 0.1 0.1 0.1]
2472,[0.1 0.1 0.1 0.1]
2476,[0.1 0.1 0.1 0.1]
2480,[0.1 0.1 0.1 0.1]
2484,[0.1 0.1 0.1 0.1]
2488,[0.1 0.1 0.1 0.1]
2492,[0.1 0.1 0.1 0.1]
2496,[0.1 0.1 0.1 0.1]
2500,[0.1 0.1 0.1 0.1]
2504,[0.1 0.1 0.1 0.1]
2508,[0.1 0.1 0.1 0.1]
2512,[0.1 0.1 0.1 0.1]
2516,[0.1 0.1 0.1 0.1]
2520,[0.1 0.1 0.1 0.1]
2524,[0.1 0.1 0.1 0.1]
2528,[-0.5 -0.5  0.1  0.1]
2532,[-0.5 -0.5  0.1  0.1]
2536,[-0.5 -0.5  0.1  0.1]
2540,[-0.5 -0.5  0.1  0.1]
