train/entropy_loss,rollout/ep_len_mean,train/value_loss,train/n_updates,time/total_timesteps,train/policy_loss,train/explained_variance,time/fps,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,time/iterations
-0.11472435295581818,96.8,0.009041335433721542,26899,538000,-0.015329867601394653,0.9110477864742279,1091,0.0007,492,9.777000000000001,26900
-0.010702168568968773,97.11,0.003355777356773615,26999,540000,-0.00010563842806732282,0.9744291473180056,1091,0.0007,494,9.808,27000
-0.1538044661283493,90.01,0.011675911955535412,27099,542000,-0.010625950992107391,0.7790731936693192,1090,0.0007,496,8.936000000000002,27100
-0.08500693738460541,88.13,0.21019311249256134,27199,544000,-0.0008117311517708004,0.2089146375656128,1090,0.0007,498,8.693999999999999,27200
-0.04781448468565941,90.1,0.028485238552093506,27299,546000,0.01445211935788393,0.4005011320114136,1090,0.0007,500,8.945,27300
-0.03480186685919762,86.99,0.02998390793800354,27399,548000,0.09493130445480347,0.36778759956359863,1090,0.0007,502,8.58,27400
-0.08400794863700867,87.86,0.06377917528152466,27499,550000,0.05542962625622749,-0.5242832899093628,1091,0.0007,504,8.676,27500
-0.09077077358961105,87.84,0.0004040690546389669,27599,552000,0.001401670859195292,0.9953528987243772,1091,0.0007,505,8.656,27600
-0.07025104761123657,81.51,24.65143394470215,27699,554000,-0.0009963992051780224,0.07013547420501709,1091,0.0007,507,7.879000000000001,27700
-0.20099182426929474,78.64,18.95203971862793,27799,556000,-0.5087265968322754,0.06458932161331177,1091,0.0007,509,7.483999999999998,27800
-0.0016289547784253955,69.8,0.2141980230808258,27899,558000,1.0217054295935668e-05,0.7051741480827332,1091,0.0007,511,6.3839999999999995,27900
-0.05693724751472473,62.93,16.36543846130371,27999,560000,2.213791049143765e-05,0.13452297449111938,1091,0.0007,513,5.507999999999999,28000
-0.06292369216680527,56.21,8.912297248840332,28099,562000,-0.005724096205085516,0.3123932480812073,1091,0.0007,514,4.691999999999998,28100
-0.09067259728908539,47.92,0.00733993062749505,28199,564000,-0.011102845892310143,0.9742257334291935,1091,0.0007,516,3.6919999999999984,28200
-0.06670142710208893,48.1,0.008049349300563335,28299,566000,9.746545401867479e-05,0.9814752675592899,1092,0.0007,518,3.709999999999998,28300
-4.5126020609131956e-07,49.05,0.00021070361253805459,28399,568000,-3.2085606394005595e-10,0.9988884550984949,1092,0.0007,520,3.804999999999999,28400
-0.0057343910448253155,48.29,0.0020100788678973913,28499,570000,0.007598137948662043,0.9976940411143005,1092,0.0007,521,3.7289999999999988,28500
-0.0060475110076367855,48.7,0.0176574494689703,28599,572000,2.7658374165184796e-05,0.9926190879195929,1092,0.0007,523,3.7699999999999982,28600
-6.566668275809207e-07,50.22,0.001997650135308504,28699,574000,-0.0,0.9991936340229586,1091,0.0007,525,3.9219999999999984,28700
-0.029698077589273453,49.84,0.00973193533718586,28799,576000,-0.02627411298453808,0.9955887966789305,1091,0.0007,527,3.8839999999999986,28800
-1.2202222933410667e-05,49.24,0.00014254455163609236,28899,578000,-7.458703876750405e-09,0.9998887031033519,1091,0.0007,529,3.8239999999999985,28900
-1.1252012654949795e-06,49.62,0.0001497889606980607,28999,580000,-2.391470077522939e-10,0.9998465060489252,1090,0.0007,531,3.8619999999999983,29000
-0.01859746128320694,49.62,0.00472960015758872,29099,582000,-0.0011500403052195907,0.9970418193843216,1090,0.0007,533,3.8619999999999983,29100
-2.7163774575456046e-05,49.62,0.0006274611805565655,29199,584000,-9.925149591083482e-09,0.9996018954843748,1090,0.0007,535,3.8619999999999983,29200
