rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,time/episodes,train/n_updates,train/learning_rate,train/loss
50.0,10,35600,0.8308999999999996,-6.846,3393,712,2162,0.0001,0.012640310451388359
50.0,10,35800,0.8299499999999997,-6.8279999999999985,3391,716,2175,0.0001,0.5499061346054077
50.0,10,36000,0.8289999999999998,-6.834,3390,720,2187,0.0001,0.01207362487912178
50.0,10,36200,0.82805,-6.881999999999998,3390,724,2200,0.0001,0.026486625894904137
50.0,10,36400,0.8271000000000001,-6.9,3391,728,2212,0.0001,0.07919330149888992
50.0,10,36600,0.8261500000000002,-6.911999999999999,3390,732,2225,0.0001,0.14929625391960144
50.0,10,36800,0.8252000000000003,-6.882,3389,736,2237,0.0001,0.24930164217948914
50.0,10,37000,0.8242500000000004,-6.7799999999999985,3389,740,2250,0.0001,0.1557016521692276
50.0,10,37200,0.8233000000000005,-6.755999999999999,3387,744,2262,0.0001,0.022417644038796425
50.0,11,37400,0.8223499999999995,-6.7379999999999995,3387,748,2275,0.0001,0.04482812061905861
50.0,11,37600,0.8213999999999997,-6.702000000000001,3387,752,2287,0.0001,0.22623683512210846
50.0,11,37800,0.8204499999999997,-6.7200000000000015,3376,756,2300,0.0001,0.36195293068885803
50.0,11,38000,0.8194999999999999,-6.714000000000001,3375,760,2312,0.0001,0.03370225429534912
50.0,11,38200,0.81855,-6.684,3372,764,2325,0.0001,0.19403433799743652
50.0,11,38400,0.8176000000000001,-6.66,3373,768,2337,0.0001,0.17938710749149323
50.0,11,38600,0.8166500000000002,-6.678,3372,772,2350,0.0001,0.2589609920978546
50.0,11,38800,0.8157000000000003,-6.396000000000002,3371,776,2362,0.0001,0.056773509830236435
50.0,11,39000,0.8147500000000004,-6.426,3371,780,2375,0.0001,0.06766210496425629
50.0,11,39200,0.8138000000000005,-6.456,3372,784,2387,0.0001,0.08398817479610443
50.0,11,39400,0.8128499999999995,-6.4559999999999995,3371,788,2400,0.0001,0.21184492111206055
50.0,11,39600,0.8118999999999996,-6.438,3372,792,2412,0.0001,0.4168320596218109
50.0,11,39800,0.8109499999999997,-6.408,3371,796,2425,0.0001,0.1997172087430954
50.0,11,40000,0.8099999999999998,-6.377999999999999,3372,800,2437,0.0001,0.2126060128211975
50.0,11,40200,0.8090499999999999,-6.372000000000001,3371,804,2450,0.0001,0.3295111656188965
50.0,11,40400,0.8081,-6.342,3371,808,2462,0.0001,0.16736844182014465
50.0,12,40600,0.8071500000000001,-6.324000000000001,3372,812,2475,0.0001,0.034559763967990875
50.0,12,40800,0.8062000000000002,-6.3180000000000005,3370,816,2487,0.0001,0.2708258032798767
50.0,12,41000,0.8052500000000004,-6.2219999999999995,3369,820,2500,0.0001,0.09786220639944077
50.0,12,41200,0.8043000000000005,-6.216,3369,824,2512,0.0001,0.023149065673351288
50.0,12,41400,0.8033499999999996,-6.095999999999999,3367,828,2525,0.0001,0.2040797770023346
50.0,12,41600,0.8023999999999997,-6.096,3368,832,2537,0.0001,0.04994901269674301
50.0,12,41800,0.8014499999999998,-6.12,3366,836,2550,0.0001,0.025283781811594963
50.0,12,42000,0.8004999999999999,-6.179999999999999,3366,840,2562,0.0001,0.255551278591156
50.0,12,42200,0.79955,-6.120000000000001,3365,844,2575,0.0001,0.06110604852437973
50.0,12,42400,0.7986000000000001,-6.072,3364,848,2587,0.0001,0.1367293894290924
50.0,12,42600,0.7976500000000002,-6.024000000000001,3363,852,2600,0.0001,0.028903238475322723
50.0,12,42800,0.7967000000000002,-6.065999999999999,3362,856,2612,0.0001,0.04477529227733612
50.0,12,43000,0.7957500000000004,-6.15,3361,860,2625,0.0001,0.01656988263130188
50.0,12,43200,0.7948000000000004,-6.149999999999999,3362,864,2637,0.0001,0.1851319819688797
50.0,12,43400,0.7938499999999995,-6.21,3360,868,2650,0.0001,0.1301538348197937
50.0,12,43600,0.7928999999999996,-6.270000000000001,3354,872,2662,0.0001,0.2112261801958084
50.0,13,43800,0.7919499999999997,-6.509999999999999,3351,876,2675,0.0001,0.05171014368534088
50.0,13,44000,0.7909999999999998,-6.509999999999999,3351,880,2687,0.0001,0.10970457643270493
50.0,13,44200,0.7900499999999999,-6.444,3350,884,2700,0.0001,0.41017618775367737
50.0,13,44400,0.7891,-6.444000000000001,3351,888,2712,0.0001,0.3603525757789612
50.0,13,44600,0.7881500000000001,-6.468000000000001,3350,892,2725,0.0001,0.05989091470837593
50.0,13,44800,0.7872000000000002,-6.51,3351,896,2737,0.0001,0.14841876924037933
50.0,13,45000,0.7862500000000003,-6.540000000000001,3348,900,2750,0.0001,0.35221490263938904
50.0,13,45200,0.7853000000000004,-6.515999999999999,3348,904,2762,0.0001,0.18483072519302368
50.0,13,45400,0.7843499999999995,-6.558000000000001,3348,908,2775,0.0001,0.2385246455669403
50.0,13,45600,0.7833999999999997,-6.51,3348,912,2787,0.0001,0.1840595304965973
50.0,13,45800,0.7824499999999998,-6.396,3348,916,2800,0.0001,0.0209403857588768
50.0,13,46000,0.7814999999999999,-6.504,3348,920,2812,0.0001,0.07649584114551544
50.0,13,46200,0.7805499999999999,-6.527999999999999,3348,924,2825,0.0001,0.07317844778299332
50.0,13,46400,0.7796000000000001,-6.617999999999999,3346,928,2837,0.0001,0.03119513764977455
50.0,13,46600,0.7786500000000001,-6.612,3345,932,2850,0.0001,0.06696302443742752
50.0,13,46800,0.7777000000000003,-6.510000000000002,3344,936,2862,0.0001,0.4329834580421448
50.0,14,47000,0.7767500000000004,-6.468,3343,940,2875,0.0001,0.06215810403227806
50.0,14,47200,0.7758000000000005,-6.480000000000001,3344,944,2887,0.0001,0.019742481410503387
50.0,14,47400,0.7748499999999995,-6.539999999999999,3343,948,2900,0.0001,0.06909698992967606
50.0,14,47600,0.7738999999999996,-6.605999999999999,3343,952,2912,0.0001,0.02376355603337288
50.0,14,47800,0.7729499999999997,-6.587999999999999,3342,956,2925,0.0001,0.05099887028336525
50.0,14,48000,0.7719999999999998,-6.425999999999999,3341,960,2937,0.0001,0.03003193810582161
50.0,14,48200,0.7710499999999999,-6.437999999999999,3339,964,2950,0.0001,0.10760803520679474
50.0,14,48400,0.7701,-6.4079999999999995,3339,968,2962,0.0001,0.030177706852555275
50.0,14,48600,0.7691500000000001,-6.371999999999998,3339,972,2975,0.0001,0.09187597036361694
50.0,14,48800,0.7682000000000002,-6.402,3339,976,2987,0.0001,0.10614944994449615
50.0,14,49000,0.7672500000000003,-6.168000000000001,3338,980,3000,0.0001,0.5975055694580078
50.0,14,49200,0.7663000000000004,-6.204000000000001,3338,984,3012,0.0001,0.13883475959300995
50.0,14,49400,0.7653500000000005,-6.1320000000000014,3335,988,3025,0.0001,0.02220907434821129
50.0,14,49600,0.7643999999999996,-6.101999999999999,3335,992,3037,0.0001,0.4273393750190735
50.0,14,49800,0.7634499999999997,-6.06,3334,996,3050,0.0001,0.22042827308177948
50.0,15,50000,0.7624999999999997,-6.006,3333,1000,3062,0.0001,0.16514816880226135
50.0,15,50200,0.76155,-5.879999999999999,3331,1004,3075,0.0001,0.2675781548023224
50.0,15,50400,0.7606,-5.85,3331,1008,3087,0.0001,0.0784081444144249
50.0,15,50600,0.7596500000000002,-5.79,3330,1012,3100,0.0001,0.17291691899299622
50.0,15,50800,0.7587000000000003,-5.9159999999999995,3330,1016,3112,0.0001,0.17783203721046448
50.0,15,51000,0.7577500000000004,-5.928,3329,1020,3125,0.0001,0.05266733095049858
50.0,15,51200,0.7568000000000005,-5.885999999999999,3330,1024,3137,0.0001,0.043598722666502
50.0,15,51400,0.7558499999999995,-5.922,3328,1028,3150,0.0001,0.3996879756450653
50.0,15,51600,0.7548999999999996,-5.946000000000001,3328,1032,3162,0.0001,0.026221906766295433
50.0,15,51800,0.7539499999999997,-6.005999999999999,3327,1036,3175,0.0001,0.026457738131284714
50.0,15,52000,0.7529999999999998,-5.999999999999999,3327,1040,3187,0.0001,0.16351374983787537
50.0,15,52200,0.7520499999999999,-6.005999999999999,3326,1044,3200,0.0001,0.15000112354755402
50.0,15,52400,0.7511,-5.9879999999999995,3327,1048,3212,0.0001,0.09601203352212906
50.0,15,52600,0.7501500000000001,-5.916,3325,1052,3225,0.0001,0.10693030059337616
50.0,15,52800,0.7492000000000003,-5.952000000000001,3326,1056,3237,0.0001,0.05377858504652977
50.0,15,53000,0.7482500000000003,-6.042000000000001,3325,1060,3250,0.0001,0.05798707902431488
50.0,15,53200,0.7473000000000004,-6.042000000000001,3325,1064,3262,0.0001,0.10187169909477234
50.0,16,53400,0.7463500000000005,-5.874,3325,1068,3275,0.0001,0.17903193831443787
50.0,16,53600,0.7453999999999996,-5.874,3325,1072,3287,0.0001,0.05442078039050102
50.0,16,53800,0.7444499999999996,-5.85,3324,1076,3300,0.0001,0.05425095558166504
50.0,16,54000,0.7434999999999998,-5.964000000000001,3322,1080,3312,0.0001,0.11890093982219696
50.0,16,54200,0.7425499999999999,-5.814000000000001,3320,1084,3325,0.0001,0.18279840052127838
50.0,16,54400,0.7416,-5.898000000000001,3319,1088,3337,0.0001,0.11507250368595123
50.0,16,54600,0.7406500000000001,-5.880000000000001,3318,1092,3350,0.0001,0.4717671275138855
50.0,16,54800,0.7397000000000002,-5.880000000000001,3317,1096,3362,0.0001,0.04053610563278198
50.0,16,55000,0.7387500000000004,-5.940000000000001,3316,1100,3375,0.0001,0.03368059918284416
50.0,16,55200,0.7378000000000005,-5.976000000000002,3315,1104,3387,0.0001,0.22054614126682281
50.0,16,55400,0.7368500000000004,-5.922000000000001,3314,1108,3400,0.0001,0.34987542033195496
50.0,16,55600,0.7358999999999996,-5.994,3313,1112,3412,0.0001,0.09797237068414688
50.0,16,55800,0.7349499999999998,-6.006,3312,1116,3425,0.0001,0.132407546043396
50.0,16,56000,0.7339999999999998,-5.9639999999999995,3311,1120,3437,0.0001,0.22722510993480682
50.0,17,56200,0.73305,-5.958000000000001,3303,1124,3450,0.0001,0.10726943612098694
50.0,17,56400,0.7321,-5.994,3303,1128,3462,0.0001,0.032598987221717834
50.0,17,56600,0.7311500000000001,-5.880000000000001,3301,1132,3475,0.0001,0.14189255237579346
50.0,17,56800,0.7302000000000002,-5.850000000000001,3300,1136,3487,0.0001,0.09001746028661728
50.0,17,57000,0.7292500000000003,-5.754,3299,1140,3500,0.0001,0.10945765674114227
50.0,17,57200,0.7283000000000004,-5.735999999999999,3298,1144,3512,0.0001,0.1340504288673401
50.0,17,57400,0.7273500000000006,-5.64,3297,1148,3525,0.0001,0.04671294614672661
50.0,17,57600,0.7263999999999996,-5.645999999999999,3297,1152,3537,0.0001,0.11472901701927185
50.0,17,57800,0.7254499999999997,-5.556000000000001,3294,1156,3550,0.0001,0.13846547901630402
