rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/value_loss,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/clip_range
138.73,85,77.46,145,87040,596,840,1030.2004776000977,0.18606305122375488,384.73150634765625,0.0005859375,-0.08078917181119323,-4.724075552076101e-05,0.0003,6.891435e-05,0.2
138.48,86,77.21,147,88064,596,850,1341.2210750579834,0.0624200701713562,460.0693664550781,0.0099609375,-0.08764852620661259,-0.0007598112570121884,0.0003,0.00051622634,0.2
145.25,87,79.03,149,89088,595,860,1198.9871295928956,0.19256055355072021,509.9083251953125,0.030078125,-0.09389275609282777,-0.0017746112891472877,0.0003,0.0018572232,0.2
137.3,88,77.02,151,90112,596,870,1084.365402984619,0.3272010087966919,563.9968872070312,0.00810546875,-0.07420541299507022,-0.0008113039279123768,0.0003,0.0009829402,0.2
141.43,89,78.18,152,91136,596,880,1246.5740352630614,0.2525002360343933,853.3047485351562,0.018359375,-0.08440354333724827,-0.001567624747985974,0.0003,0.00094748475,0.2
139.71,90,77.45,154,92160,597,890,1300.4790943145751,0.15244442224502563,648.842529296875,0.003515625,-0.07565689292969183,-0.0005170003627426922,0.0003,0.000712698,0.2
141.85,91,77.61,156,93184,597,900,1076.2668762207031,0.20655608177185059,557.0870971679688,0.01611328125,-0.0851584461517632,-0.001017049263464287,0.0003,0.00081794773,0.2
157.75,92,81.63,157,94208,597,910,819.8149871826172,0.2212393879890442,403.04803466796875,0.01396484375,-0.07626275806687773,-0.0019865062145981937,0.0003,0.0012848339,0.2
161.65,93,82.56,159,95232,597,920,1072.5925338745117,0.3771805763244629,525.5263061523438,0.01064453125,-0.08604148710146546,-0.0010278202913468703,0.0003,0.00084437715,0.2
162.93,94,82.85,160,96256,597,930,1252.3717571258544,0.20931440591812134,626.4093627929688,0.00087890625,-0.0820072986651212,1.0582682443782688e-05,0.0003,0.00034860786,0.2
165.31,95,83.25,162,97280,598,940,1054.4703397750854,0.2739986181259155,647.907958984375,0.0154296875,-0.07397367591038347,-0.001969034445937723,0.0003,0.0012750824,0.2
166.74,96,83.69,164,98304,598,950,1221.7974380493165,0.2517552375793457,661.5758666992188,0.00400390625,-0.08146917574340477,0.00028000043821521106,0.0003,0.0005247104,0.2
169.51,97,84.48,165,99328,598,960,1406.6616004943849,0.1884533166885376,891.40625,0.00771484375,-0.07637803208781406,-0.0006662674248218536,0.0003,0.0013608232,0.2
