time/total_timesteps,time/iterations,train/policy_loss,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,time/fps,train/n_updates
1006000,50300,2.935780503321439e-05,70.34,0.9999104955422808,-0.0025283582508563995,0.0010428839595988393,118.74,0.0007,921,1091,50299
1008000,50400,0.00027203536592423916,68.8,0.9997492270777002,-0.04119244962930679,0.011379524134099483,117.2,0.0007,923,1091,50399
1010000,50500,0.09020157903432846,70.87,0.9979286713059992,-0.0841093435883522,0.12706385552883148,123.23,0.0007,925,1091,50499
1012000,50600,-0.0,68.15,0.9983953979099169,-1.0629172509605406e-14,0.06685654073953629,115.56,0.0007,927,1091,50599
1014000,50700,0.0021409019827842712,65.99,0.4676041603088379,-0.02356366254389286,164.98399353027344,106.47,0.0007,929,1091,50699
1016000,50800,-1.1986594827817498e-08,64.84,0.9986483966931701,-4.100960268260678e-06,0.1547560691833496,103.34,0.0007,930,1091,50799
1018000,50900,-0.0,65.38,0.3531440496444702,-1.2411436895592987e-12,935.9299926757812,103.88,0.0007,932,1091,50899
1020000,51000,0.00017891894094645977,65.62,-0.1529902219772339,-0.004622379783540964,1895.2606201171875,103.13,0.0007,934,1091,50999
1022000,51100,0.0009302077814936638,68.42,0.9984765136614442,-0.014161171391606331,0.07516249269247055,111.87,0.0007,936,1091,51099
1024000,51200,0.00037169261486269534,68.86,0.9996504835435189,-0.011093019507825375,0.017791828140616417,110.33,0.0007,938,1091,51199
1026000,51300,0.00031159972422756255,73.11,0.9995617817621678,-0.007567775901407003,0.08338756114244461,125.47,0.0007,940,1091,51299
1028000,51400,-0.0,70.71,0.5130850374698639,-3.113018198254436e-14,668.3848876953125,116.14,0.0007,941,1091,51399
1030000,51500,0.0010222328128293157,67.47,0.30908507108688354,-0.02348233200609684,502.5682678222656,107.95,0.0007,943,1091,51499
1032000,51600,-0.0,63.53,0.9999550926841039,-3.595309949278383e-14,0.008002320304512978,96.09,0.0007,945,1091,51599
1034000,51700,4.724266091216123e-06,60.37,-0.11379730701446533,-6.513637345051393e-07,2785.3974609375,87.98,0.0007,948,1090,51699
1036000,51800,-0.00012027788034174591,60.18,0.9988464751513675,-0.0038410609122365713,0.01797601394355297,89.77,0.0007,950,1090,51799
1038000,51900,-0.002876415615901351,63.33,0.6553270220756531,-0.02468879334628582,185.1078643798828,102.82,0.0007,951,1090,51899
1040000,52000,0.00044456054456532,66.68,0.8445081412792206,-0.004418424796313047,77.38097381591797,113.1,0.0007,953,1090,51999
1042000,52100,0.11466246843338013,71.79,-0.11661744117736816,-0.018763229250907898,53.6247673034668,126.13,0.0007,955,1090,52099
1044000,52200,-1.551192326587625e-05,75.17,-0.29175448417663574,-0.0020064415875822306,967.2644653320312,134.46,0.0007,957,1090,52199
1046000,52300,-0.0004420154436957091,70.5,0.9998783961491426,-0.02273278869688511,0.010993457399308681,115.93,0.0007,958,1090,52299
1048000,52400,-0.0012413925724104047,64.59,0.9970913326833397,-0.03728974983096123,0.2998550236225128,98.14,0.0007,960,1090,52399
1050000,52500,-1.4070792531128973e-07,64.81,0.9999728820403107,-3.429498610785231e-05,0.003996805753558874,103.31,0.0007,962,1090,52499
1052000,52600,-0.0,66.79,0.18837618827819824,-2.455552071628595e-14,816.9619140625,106.28,0.0007,964,1090,52599
1054000,52700,0.008730544708669186,63.7,0.9989955842029303,-0.06154525279998779,0.11123233288526535,90.32,0.0007,966,1090,52699
1056000,52800,0.0005119899869896472,53.82,0.9997722674888792,-0.006708052940666676,0.02168056182563305,50.74,0.0007,967,1091,52799
1058000,52900,-0.001978173153474927,50.94,0.9998930394212948,-0.034656476229429245,0.00886818952858448,39.94,0.0007,969,1091,52899
1060000,53000,-0.0001487970439484343,50.84,0.9999541892648267,-0.017463428899645805,0.005311154760420322,39.84,0.0007,971,1091,52999
1062000,53100,-0.0,50.6,0.8424778878688812,-1.5379705972304314e-14,24.479785919189453,39.6,0.0007,973,1091,53099
1064000,53200,0.005674777086824179,50.69,0.9964980019722134,-0.013158631511032581,0.508400022983551,39.69,0.0007,975,1091,53199
1066000,53300,0.0012603657087311149,53.68,-0.15212440490722656,-0.0024900936987251043,54.49415969848633,49.61,0.0007,976,1091,53299
1068000,53400,-0.0,57.85,-0.02467167377471924,-1.6209078282608362e-14,491.0709533691406,64.67,0.0007,978,1091,53399
1070000,53500,0.0013876738958060741,63.1,0.2789510488510132,-0.023314518854022026,766.4449462890625,83.78,0.0007,980,1091,53499
1072000,53600,-0.0,67.5,-0.19798171520233154,-4.038535728057013e-09,1444.869873046875,100.06,0.0007,982,1091,53599
1074000,53700,-0.0,69.63,0.9978355595376343,-3.2963022366999314e-14,0.08552047610282898,108.13,0.0007,984,1091,53699
1076000,53800,-0.528721034526825,73.34,0.02273339033126831,-0.04070005938410759,1656.576171875,120.75,0.0007,985,1091,53799
1078000,53900,-0.0,72.03,0.999812748254044,-1.4986252256515842e-12,0.0004105547850485891,114.49,0.0007,987,1091,53899
