time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_range,train/loss,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl
130,628,81920,10.412,102.61,80,0.2,0.6402876973152161,0.015234375,0.7506232112646103,790,-0.05392994300927967,0.8952101850882173,-2.271941630169749e-05,0.0003,0.009909671
132,628,82944,10.074000000000002,99.86,81,0.2,0.7609016299247742,0.0201171875,0.7132722437381744,800,-0.0557397410273552,1.18192251175642,-0.0007653625536477194,0.0003,0.0014310207
133,628,83968,9.918000000000001,98.57,82,0.2,0.6668770909309387,0.03671875,0.6422291100025177,810,-0.06410497025062796,1.247763266786933,-0.0036480302806012332,0.0003,0.008282859
135,628,84992,9.709,96.75,83,0.2,0.539254903793335,0.015625,0.595036655664444,820,-0.06231589427916333,1.259981420636177,-0.001070442667696625,0.0003,0.000483742
136,628,86016,9.856,97.95,84,0.2,0.6002318263053894,0.01318359375,0.4621610641479492,830,-0.053808643692173065,1.1253139194101096,-0.0004064815409947187,0.0003,0.0009458836
138,628,87040,9.573,95.66,85,0.2,0.43486788868904114,0.0099609375,0.5355411469936371,840,-0.053488505457062276,1.1759309191256762,0.000267365004401654,0.0003,0.0001929361
140,628,88064,9.509,95.11,86,0.2,0.7995821237564087,0.02001953125,0.5203524231910706,850,-0.060364517592825,1.3887334499508142,0.0016712071839720011,0.0003,0.0043832366
141,628,89088,9.754,97.11,87,0.2,0.47074297070503235,0.02734375,0.5783107280731201,860,-0.05089973115827888,1.2277926594018935,0.0002349976042751223,0.0003,0.00088480324
143,628,90112,9.921000000000001,98.42,88,0.2,0.28261029720306396,0.01884765625,0.5728341937065125,870,-0.04683484468841925,1.0715679157525302,-0.001151330693392083,0.0003,0.00068255485
144,628,91136,9.859000000000002,97.89,89,0.2,0.5936530232429504,0.00771484375,0.41183483600616455,880,-0.05495530684129335,1.8791874025017024,-5.582330049946904e-05,0.0003,0.0003896907
146,629,92160,10.049999999999999,99.44,90,0.2,0.6920931339263916,0.02314453125,0.4740731716156006,890,-0.057724766980390994,1.6735299799591303,-0.0015991110034519807,0.0003,0.0020464112
148,628,93184,10.288,101.37,91,0.2,0.6712934970855713,0.01181640625,0.6052393317222595,900,-0.054110750620020555,1.2432811819016933,0.00014072276535443963,0.0003,0.00028396706
149,628,94208,10.536000000000001,103.4,92,0.2,0.20132127404212952,0.01552734375,0.6424769461154938,910,-0.05708706002333201,0.8698049403727055,-0.0005171780474483966,0.0003,0.0009998097
151,628,95232,10.914000000000001,106.55,93,0.2,0.461665540933609,0.02138671875,0.5724938213825226,920,-0.04936486418591812,1.3868392180651425,-0.0005067938764113933,0.0003,0.0014583727
153,628,96256,10.920000000000002,106.61,94,0.2,0.3612126111984253,0.016015625,0.6142004430294037,930,-0.05083134272717871,1.5709415052086115,-0.00020226440101396294,0.0003,0.00056089927
154,628,97280,10.925000000000002,106.66,95,0.2,0.8199794888496399,0.0236328125,0.5998570621013641,940,-0.05778644868405536,1.4304018247872592,-0.0017600894439965486,0.0003,0.002198826
156,628,98304,11.12,108.25,96,0.2,0.7630115747451782,0.01416015625,0.6592606008052826,950,-0.0610199699178338,1.3462763506919146,-0.0008527328202035279,0.0003,0.0020240129
157,628,99328,11.055,107.78,97,0.2,0.5851159691810608,0.028125,0.7091319859027863,960,-0.057466682547237725,1.0785082146525382,0.00028104038210585713,0.0003,0.003925935
159,628,100352,10.823,105.91,98,0.2,0.565536379814148,0.01484375,0.5882796943187714,970,-0.049277623556554316,1.3280836135149001,-0.001478448833222501,0.0003,0.0012976287
161,628,101376,10.620999999999999,104.25,99,0.2,0.4489505887031555,0.01484375,0.585653156042099,980,-0.04992949074949138,1.4484877943992616,9.588057873770595e-05,0.0003,0.00054228515
162,628,102400,10.273,101.4,100,0.2,0.8649466633796692,0.019140625,0.5948014557361603,990,-0.05448738263803534,1.3640083201229571,0.0017383934231474996,0.0003,0.0024083795
164,629,103424,10.284,101.42,101,0.2,0.5105859041213989,0.012890625,0.55674147605896,1000,-0.05207415383774787,1.5054390735924243,0.0005790537223219871,0.0003,0.0010563226
166,629,104448,10.167,100.43,102,0.2,0.31382477283477783,0.01396484375,0.626154363155365,1010,-0.047696489840745926,1.0037449071183802,-0.0007020387070951984,0.0003,0.000994932
167,629,105472,9.681,96.56,103,0.2,0.5547827482223511,0.02021484375,0.6238327026367188,1020,-0.04302419556770474,0.9328495090827346,-0.0007321330776903778,0.0003,0.0033121717
169,629,106496,9.226,92.91,104,0.2,0.6359619498252869,0.019140625,0.276904821395874,1030,-0.04926671638386324,2.123500605672598,0.00031426061468664557,0.0003,0.0012982048
170,629,107520,9.406,94.35,105,0.2,0.7809840440750122,0.03212890625,0.39872902631759644,1040,-0.053160838136682285,1.851978923380375,-0.0014138732629362493,0.0003,0.0016738507
172,629,108544,9.126000000000001,92.09,106,0.2,0.6383878588676453,0.0158203125,0.553979754447937,1050,-0.05007967819692567,1.0921653043478727,0.0007165463001001626,0.0003,0.00011594969
174,629,109568,9.549,95.51,107,0.2,0.6217578053474426,0.0119140625,0.5393746793270111,1060,-0.05039910568739288,1.383795727789402,0.0001771915121935308,0.0003,0.001060863
175,629,110592,9.6,95.93,108,0.2,0.4113733172416687,0.007421875,0.7539585679769516,1070,-0.048288508821860886,0.8490758888423443,-0.0003228176443371922,0.0003,0.0011552048
177,629,111616,9.948,98.78,109,0.2,0.48572787642478943,0.01513671875,0.7393276989459991,1080,-0.043580172286601736,0.8836615668609739,0.001836248260224238,0.0003,0.0011146287
178,629,112640,10.201,100.77,110,0.2,0.3165188133716583,0.01484375,0.7941447645425797,1090,-0.05164636008557864,0.7713339190930129,0.0012713318865280598,0.0003,0.0009532499
180,629,113664,9.878,98.17,111,0.2,0.5551996827125549,0.01904296875,0.6677298843860626,1100,-0.04937733103870414,1.0653666444122791,-0.0024947584606707096,0.0003,0.003947129
182,629,114688,10.037,99.4,112,0.2,0.5546191930770874,0.01748046875,0.7148792147636414,1110,-0.04486124683462549,0.9113264271989465,-0.00011279385071247817,0.0003,0.000651064
183,629,115712,10.324000000000002,101.73,113,0.2,0.5601004362106323,0.02421875,0.6365808248519897,1120,-0.05211657036561519,1.2136921958997846,-0.002615925675490871,0.0003,0.006601404
185,629,116736,10.595,103.9,114,0.2,0.3021852672100067,0.015234375,0.7045407593250275,1130,-0.048735075318836606,0.823244903050363,0.0007023870304692537,0.0003,0.0004080633
186,629,117760,10.821000000000002,105.71,115,0.2,0.3615171015262604,0.01748046875,0.6210487484931946,1140,-0.04842931005405262,1.220755323767662,0.0002531664591515437,0.0003,0.001626581
188,629,118784,10.753,105.12,116,0.2,0.5870839357376099,0.01591796875,0.6510348320007324,1150,-0.04230656870640814,1.1630945704877376,0.001007140672300011,0.0003,0.0012185585
190,629,119808,10.753000000000002,105.12,117,0.2,0.7247201800346375,0.0248046875,0.5486816465854645,1160,-0.04426497876120265,1.3999535020440816,-0.0013750342361163348,0.0003,0.0058442666
191,629,120832,10.662000000000003,104.39,118,0.2,0.5276073813438416,0.02373046875,0.6368639469146729,1170,-0.04305043073836714,1.1181257678195835,-0.0008213355496991426,0.0003,0.00251561
